,address,categories,latitude,longitude,name,zipcode,Zip Code,Neighborhood
143,"31 3rd Ave, 2nd Fl, New York, NY 10003","{'importedfood', 'grocery'}",40.7297732971442,-73.9892049219367,Sunshine Mart,10003,10003,Greenwich Village
144,"25 University Pl, New York, NY 10003",{'grocery'},40.7317659258842,-73.9945768564939,Gristedes,10003,10003,Greenwich Village
145,"102 2nd Ave, New York, NY 10003",{'grocery'},40.7271996,-73.9883728,Village Gourmet Grocery,10003,10003,Greenwich Village
146,"33 Greenwich Ave, New York, NY 10014","{'fooddeliveryservices', 'grocery', 'convenience'}",40.73477626739,-74.0002644919936,Greenwich Village Farm,10014,10014,West Greenwich Village
147,"11 8th Ave, New York, NY 10014",{'grocery'},40.7377319335938,-74.0049591064453,Spyros & Sons Food Mart,10014,10014,West Greenwich Village
148,"117 7th Ave S, New York, NY 10014","{'gourmet', 'grocery'}",40.733266042508,-74.002710463142,Gourmet Garage,10014,10014,West Greenwich Village
149,"666 Greenwich St, New York, NY 10014",{'grocery'},40.7322265952826,-74.0077518671751,Brooklyn Fare,10014,10014,West Greenwich Village
150,"800 Washington St, New York, NY 10014",{'grocery'},40.73887,-74.0082,Nonno Gourmet,10014,10014,West Greenwich Village
151,"65 8th Ave, New York, NY 10014",{'grocery'},40.7392502,-74.0031204,Fresh Farm,10014,10014,West Greenwich Village
152,"1Abingdon Sq, New York, NY 10014","{'coffee', 'bagels', 'grocery'}",40.736930847168,-74.0053100585938,Abingdon Market,10014,10014,West Greenwich Village
153,"514 Hudson, New York, NY 10014",{'grocery'},40.73357,-74.00615,Hudson Gourmet,10014,10014,West Greenwich Village
154,"543 3 Sheridan Sq, New York, NY 10014",{'grocery'},40.7328455,-74.0023326,Gristedes Supermarket,10014,10014,West Greenwich Village
155,"58 Carmine St, New York, NY 10014",{'grocery'},40.72971,-74.00408,Cho's Grocery,10014,10014,West Greenwich Village
156,"320 1st Ave, New York, NY 10009",{'grocery'},40.7341127080103,-73.9801221893408,Gracefully,10009,10009,East Greenwich Village
